15.79,50216,0.35,133748,0.7,12.91,81.42
4.85,53061,1.68,150605,8.01,17.74,67.14
16.4,51652,1.64,152783,4.76,31.44,109.75
2.41,54476,0.73,148705,7.82,10,41.51
10.61,50709,4.45,155132,11.56,44.75,114.99
14.77,53519,1.43,152624,4.88,33.07,109.74
15.45,53618,2.63,148915,6.63,43.76,121.68
11.71,55324,2.82,143959,7.06,34.34,106.94
7.06,51827,0.5,126469,1.18,35.48,94.4
18.14,51777,1.54,148096,4.76,39.59,120.8
3.54,50140,0.41,148160,0.95,6.06,40.43
12.43,55991,3.55,143121,8.05,41.8,115.54
5.9,54366,8.11,148470,20.09,37.52,92.68
8.08,55802,0.65,133077,3.27,14.3346,73.59
12.11,50259,1.88,141200,5.84,13.65,79.39
9.86,50088,4.42,145981,11.04,40.94,109.94
10.4,51746,5.48,146406,13.16,50,119.02
13.57,53398,0.46,150186,2.24,17.37,87.39
13.11,50365,8.04,156372,22,90.76,152.81
14.23,51322,6.24,150665,17.95,80.17,148.29
5.01,57950,7.69,155394,17.97,34.38,84.66
8.54,51488,7.82,143245,20.4,51.68,115.4
7.18,53248,2.68,144446,7.89,23,83.8
8.62,52828,0.71,136248,3.79,15.31,77.06
11.27,57647,1.4,144974,4.4,22.31,91.84
11.42,53612,0.49,149594,2.56,15.92,82.56
10.45,57751,0.28,133938,0.48,6.72,61.44
13.98,53107,5.15,138280,11.17,61.97,135.03
8.26,53461,8.78,148456,23.75,63.29,122.78
10.18,53179,2.12,142495,6.29,27.15,96.3
9.57,50660,0.95,147760,4.99,21.81,88.42
7.26,55467,8.97,148425,23.87,50.01,109.29
6.22,55523,6.75,139341,14.97,34.29,91.54
14.86,52206,1.08,145627,4.25,30.22,106.55
19.96,56494,3.52,138980,7.1,67.68,148.17
16.91,54763,2.47,148410,6.1,45.44,125.15
6.79,56093,11.09,146187,28.28,61.66,115.24
4.66,50114,0.77,146778,7.32,15.29,62.95
11.48,52501,4.51,147452,10.77,45.83,117.62
13.89,56468,3.29,140813,7.29,43.1,118.94
5.71,51248,8.36,141277,20.77,36.05,90.4
12.91,50630,1.38,148644,5.14,29.06,102.75
8.87,53491,7.51,149834,19.58,54.52,118.61
10.32,56130,1.01,136790,3.94,18.86,85.6
8.35,52866,2.45,137163,6.96,24.24,88.79
12.53,56065,4.49,145021,9.89,49.31,122.45
7.47,50725,5.92,140559,14.33,36.39,98.85
4.32,57084,0.94,143344,6.15,12.92,57.84
10.01,54998,2.12,148074,6.35,27.58,96.48
9.27,51591,2.26,141963,6.83,25.88,92.94
5.62,50612,0.65,126195,3.58,10.7,60.54
